time_s	dy_m
10.603342	0.010669
10.636685	0.010662
10.670029	0.009788
10.703373	0.010678
10.736717	0.011569
10.770061	0.011569
10.803405	0.011569
10.836749	0.011570
10.870092	0.011570
10.903436	0.011569
10.936780	0.011570
10.970124	0.011570
11.003468	0.011570
11.036812	0.011569
11.070155	0.011570
11.103499	0.011544
11.136843	0.010677
11.170187	0.011569
11.203531	0.011569
11.236875	0.011569
11.270218	0.011569
11.303562	0.011569
11.336906	0.011569
11.370250	0.011569
11.403594	0.011569
11.436938	0.011565
11.470281	0.012463
11.503625	0.011565
11.536969	0.012463
11.570313	0.011565
11.603657	0.012456
11.637001	0.012456
11.670345	0.012456
11.703688	0.012456
11.737032	0.012456
11.770376	0.012456
11.803720	0.012456
11.837064	0.012456
11.870408	0.012456
11.903751	0.012456
11.937095	0.012456
11.970439	0.012456
12.003783	0.012456
12.037127	0.012452
12.070471	0.011553
12.103814	0.011549
12.137158	0.012441
12.170502	0.012444
12.203846	0.012441
12.237190	0.012441
12.270534	0.012444
12.303878	0.012444
12.337221	0.012444
12.370565	0.012441
12.403909	0.012441
12.437253	0.012444
12.470597	0.012441
12.503941	0.012441
12.537284	0.012444
12.570628	0.012443
12.603972	0.012441
12.637316	0.012443
12.670660	0.012441
12.704004	0.012437
12.737347	0.013332
12.770691	0.013332
12.804035	0.013332
12.837379	0.013329
12.870723	0.013329
12.904067	0.013332
12.937411	0.013332
12.970754	0.013332
13.004098	0.013332
13.037442	0.013332
13.070786	0.013332
13.104130	0.013332
13.137474	0.013328
13.170817	0.013324
13.204161	0.012450
13.237505	0.013339
13.270849	0.014231
13.304193	0.014231
13.337537	0.014231
13.370880	0.014231
13.404224	0.014231
13.437568	0.014231
13.470912	0.014231
13.504256	0.014231
13.537600	0.014231
13.570944	0.014231
13.604287	0.014231
13.637631	0.014231
13.670975	0.014231
13.704319	0.014231
13.737663	0.014227
13.771007	0.013324
13.804350	0.014216
13.837694	0.014215
13.871038	0.014219
13.904382	0.014215
13.937726	0.014215
13.971070	0.014219
14.004413	0.014215
14.037757	0.014215
14.071101	0.014239
14.104445	0.015103
14.137789	0.015106
14.171133	0.015103
14.204476	0.015103
14.237820	0.015106
14.271164	0.015103
14.304508	0.015103
14.337852	0.015106
14.371196	0.015102
14.404540	0.015102
14.437883	0.015106
14.471227	0.015102
14.504571	0.015102
14.537915	0.016899
14.571259	0.016005
14.604603	0.016006
14.637946	0.016006
14.671290	0.016006
14.704634	0.016006
14.737978	0.016006
14.771322	0.016005
14.804666	0.016005
14.838009	0.016005
14.871353	0.016005
14.904697	0.016005
14.938041	0.016005
14.971385	0.016005
15.004729	0.016001
15.038073	0.015097
15.071416	0.015990
15.104760	0.015991
15.138104	0.015994
15.171448	0.015990
15.204792	0.015990
15.238136	0.015994
15.271479	0.015990
15.304823	0.015990
15.338167	0.017787
15.371511	0.016894
15.404855	0.016894
15.438199	0.016894
15.471542	0.016893
15.504886	0.016893
15.538230	0.016894
15.571574	0.016893
15.604918	0.016893
15.638262	0.016893
15.671606	0.016893
15.704949	0.016893
15.738293	0.016893
15.771637	0.016893
15.804981	0.016893
15.838325	0.016893
15.871669	0.016893
15.905012	0.016893
15.938356	0.016888
15.971700	0.017780
16.005044	0.017780
16.038388	0.017781
16.071732	0.017781
16.105075	0.017781
16.138419	0.017781
16.171763	0.017781
16.205107	0.017781
16.238451	0.017781
16.271795	0.017781
16.305139	0.017781
16.338482	0.017780
16.371826	0.017780
16.405170	0.017780
16.438514	0.017780
16.471858	0.017780
16.505202	0.017781
16.538545	0.017781
16.571889	0.017781
16.605233	0.017780
16.638577	0.017780
16.671921	0.017776
16.705265	0.018667
16.738608	0.018667
16.771952	0.018667
16.805296	0.018667
16.838640	0.018667
16.871984	0.018667
16.905328	0.018667
16.938672	0.018667
16.972015	0.018667
17.005359	0.018667
17.038703	0.018667
17.072047	0.018667
17.105391	0.018667
17.138735	0.018667
17.172078	0.018667
17.205422	0.018666
17.238766	0.018666
17.272110	0.018664
17.305454	0.019558
17.338798	0.019558
17.372141	0.019554
17.405485	0.019558
17.438829	0.019554
17.472173	0.019558
17.505517	0.019558
17.538861	0.019558
17.572204	0.019554
17.605548	0.019555
17.638892	0.019555
17.672236	0.019555
17.705580	0.019555
17.738924	0.019554
17.772268	0.019554
17.805611	0.019554
17.838955	0.019554
17.872299	0.019555
17.905643	0.019554
17.938987	0.019555
17.972331	0.019554
18.005674	0.019554
18.039018	0.019554
18.072362	0.019554
18.105706	0.019554
18.139050	0.019554
18.172394	0.019554
18.205737	0.019551
18.239081	0.020446
18.272425	0.020446
18.305769	0.020446
18.339113	0.020438
18.372457	0.019542
18.405801	0.019539
18.439144	0.019562
18.472488	0.018661
18.505832	0.019551
18.539176	0.020443
18.572520	0.020443
18.605864	0.020443
18.639207	0.020443
18.672551	0.020443
18.705895	0.020443
18.739239	0.020443
18.772583	0.020442
18.805927	0.020442
18.839270	0.020442
18.872614	0.020442
18.905958	0.020443
18.939302	0.020443
18.972646	0.020444
19.005990	0.020444
19.039334	0.020444
19.072677	0.020444
19.106021	0.020444
19.139365	0.020444
19.172709	0.020444
19.206053	0.020444
19.239397	0.020444
19.272740	0.020442
19.306084	0.020442
19.339428	0.020434
19.372772	0.021329
19.406116	0.021329
19.439460	0.021329
19.472803	0.021328
19.506147	0.021325
19.539491	0.020426
19.572835	0.020422
19.606179	0.021337
19.639523	0.020439
19.672867	0.021330
19.706210	0.021330
19.739554	0.021330
19.772898	0.021330
19.806242	0.021329
19.839586	0.021329
19.872930	0.021329
19.906273	0.021329
19.939617	0.021329
19.972961	0.021329
20.006305	0.021326
20.039649	0.022220
20.072993	0.022220
20.106336	0.022220
20.139680	0.022220
20.173024	0.022216
20.206368	0.022216
20.239712	0.022216
20.273056	0.022216
20.306400	0.022216
20.339743	0.022217
20.373087	0.022216
20.406431	0.022216
20.439775	0.022216
20.473119	0.022218
20.506463	0.022218
20.539806	0.022218
20.573150	0.022218
20.606494	0.022215
20.639838	0.022216
20.673182	0.022216
20.706526	0.022218
20.739869	0.022218
20.773213	0.022216
20.806557	0.022216
20.839901	0.022216
20.873245	0.022216
20.906589	0.022216
20.939932	0.022216
20.973276	0.022216
21.006620	0.022213
21.039964	0.023107
21.073308	0.023107
21.106652	0.023105
21.139996	0.023105
21.173339	0.023105
21.206683	0.023105
21.240027	0.023105
21.273371	0.023107
21.306715	0.023104
21.340059	0.023105
21.373402	0.023105
21.406746	0.023104
21.440090	0.023104
21.473434	0.023105
21.506778	0.023105
21.540122	0.023103
21.573465	0.023103
21.606809	0.023103
21.640153	0.023103
21.673497	0.023103
21.706841	0.023103
21.740185	0.023103
21.773529	0.023103
21.806872	0.023102
21.840216	0.023995
21.873560	0.023995
21.906904	0.023995
21.940248	0.023995
21.973592	0.023995
22.006935	0.023995
22.040279	0.023995
22.073623	0.023995
22.106967	0.023995
22.140311	0.023990
22.173655	0.023990
22.206998	0.023990
22.240342	0.023990
22.273686	0.023991
22.307030	0.023988
22.340374	0.024883
22.373718	0.024883
22.407062	0.024883
22.440405	0.024882
22.473749	0.024882
22.507093	0.024882
22.540437	0.024882
22.573781	0.024882
22.607125	0.024882
22.640468	0.024882
22.673812	0.024882
22.707156	0.024882
22.740500	0.024882
22.773844	0.024882
22.807188	0.024882
22.840531	0.024882
22.873875	0.024878
22.907219	0.024878
22.940563	0.024878
22.973907	0.024878
23.007251	0.024877
23.040595	0.024877
23.073938	0.024877
23.107282	0.024877
23.140626	0.024877
23.173970	0.024876
23.207314	0.023975
23.240658	0.023971
23.274001	0.024886
23.307345	0.023986
23.340689	0.024880
23.374033	0.024878
23.407377	0.024878
23.440721	0.024878
23.474064	0.024881
23.507408	0.024878
23.540752	0.024881
23.574096	0.024875
23.607440	0.025769
23.640784	0.025769
23.674127	0.025772
23.707471	0.024880
23.740815	0.024878
23.774159	0.024878
23.807503	0.024875
23.840847	0.025766
23.874191	0.025766
23.907534	0.025766
23.940878	0.025766
23.974222	0.025766
24.007566	0.025766
24.040910	0.025766
24.074254	0.025768
24.107597	0.025768
24.140941	0.025767
24.174285	0.025768
24.207629	0.025767
24.240973	0.025768
24.274317	0.025767
24.307660	0.025767
24.341004	0.025767
24.374348	0.025767
24.407692	0.025767
24.441036	0.025767
24.474380	0.025767
24.507724	0.025767
24.541067	0.025765
24.574411	0.025764
24.607755	0.025765
24.641099	0.025765
24.674443	0.025765
24.707787	0.025762
24.741130	0.026657
24.774474	0.026657
24.807818	0.026657
24.841162	0.026657
24.874506	0.026657
24.907850	0.026653
24.941193	0.026654
24.974537	0.026654
25.007881	0.026653
25.041225	0.026653
25.074569	0.026650
25.107913	0.025775
25.141257	0.026641
25.174600	0.026638
25.207944	0.026660
25.241288	0.025762
25.274632	0.026654
25.307976	0.026655
25.341320	0.026655
25.374663	0.026655
25.408007	0.026655
25.441351	0.026656
25.474695	0.026655
25.508039	0.026656
25.541383	0.026655
25.574726	0.026656
25.608070	0.026656
25.641414	0.026655
25.674758	0.026655
25.708102	0.026656
25.741446	0.026655
25.774790	0.026655
25.808133	0.026653
25.841477	0.026655
25.874821	0.026653
25.908165	0.026653
25.941509	0.026653
25.974853	0.026653
26.008196	0.026653
26.041540	0.026653
26.074884	0.026653
26.108228	0.026653
26.141572	0.026648
26.174916	0.027542
26.208259	0.027542
26.241603	0.027542
26.274947	0.027542
26.308291	0.027542
26.341635	0.027542
26.374979	0.027542
26.408323	0.027542
26.441666	0.027542
26.475010	0.027542
26.508354	0.027539
26.541698	0.027537
26.575042	0.028431
26.608386	0.028431
26.641729	0.028431
26.675073	0.028428
26.708417	0.028431
26.741761	0.028428
26.775105	0.028428
26.808449	0.028428
26.841792	0.028426
26.875136	0.028426
26.908480	0.028426
26.941824	0.028426
26.975168	0.028426
27.008512	0.028426
27.041855	0.028426
27.075199	0.028426
27.108543	0.028426
27.141887	0.028427
27.175231	0.028427
27.208575	0.028426
27.241919	0.028426
27.275262	0.028426
27.308606	0.028426
27.341950	0.028427
27.375294	0.028426
27.408638	0.028429
27.441982	0.028426
27.475325	0.028426
27.508669	0.028426
27.542013	0.028425
27.575357	0.029318
27.608701	0.029318
27.642045	0.029318
27.675388	0.029313
27.708732	0.029318
27.742076	0.029318
27.775420	0.029318
27.808764	0.029318
27.842108	0.029318
27.875452	0.029318
27.908795	0.029318
27.942139	0.029313
27.975483	0.029313
28.008827	0.029313
28.042171	0.029313
28.075515	0.029314
28.108858	0.029314
28.142202	0.029314
28.175546	0.029314
28.208890	0.029314
28.242234	0.029314
28.275578	0.029314
28.308921	0.029313
28.342265	0.029313
28.375609	0.029313
28.408953	0.029313
28.442297	0.029313
28.475641	0.029313
28.508985	0.029313
28.542328	0.029313
28.575672	0.029311
28.609016	0.028408
28.642360	0.029322
28.675704	0.028419
28.709048	0.029313
28.742391	0.030202
28.775735	0.030206
28.809079	0.030206
28.842423	0.030206
28.875767	0.030206
28.909111	0.030206
28.942454	0.030201
28.975798	0.030201
29.009142	0.030201
29.042486	0.030201
29.075830	0.030201
29.109174	0.030201
29.142518	0.030201
29.175861	0.030201
29.209205	0.030201
29.242549	0.030201
29.275893	0.030201
29.309237	0.030201
29.342581	0.030201
29.375924	0.030201
29.409268	0.030201
29.442612	0.030201
29.475956	0.030201
29.509300	0.030198
29.542644	0.029299
29.575987	0.029322
29.609331	0.030187
29.642675	0.030210
29.676019	0.029310
29.709363	0.030204
29.742707	0.030199
29.776051	0.031093
29.809394	0.031093
29.842738	0.031093
29.876082	0.031093
29.909426	0.031093
29.942770	0.031093
29.976114	0.031089
30.009457	0.031089
30.042801	0.031089
30.076145	0.031089
30.109489	0.031089
30.142833	0.031089
30.176177	0.031090
30.209520	0.031090
30.242864	0.031089
30.276208	0.031090
30.309552	0.031090
30.342896	0.031089
30.376240	0.031089
30.409583	0.031089
30.442927	0.031090
30.476271	0.031088
30.509615	0.031089
30.542959	0.031091
30.576303	0.031088
30.609647	0.031088
30.642990	0.031088
30.676334	0.031088
30.709678	0.031088
30.743022	0.031088
30.776366	0.031086
30.809710	0.031980
30.843053	0.031980
30.876397	0.031980
30.909741	0.030186
30.943085	0.030182
30.976429	0.031097
31.009773	0.030197
31.043116	0.031091
31.076460	0.031091
31.109804	0.031091
31.143148	0.031091
31.176492	0.031091
31.209836	0.031091
31.243180	0.031091
31.276523	0.031091
31.309867	0.031091
31.343211	0.031091
31.376555	0.031091
31.409899	0.031091
31.443243	0.031091
31.476586	0.031091
31.509930	0.031091
31.543274	0.031091
31.576618	0.031091
31.609962	0.031091
31.643306	0.031091
31.676649	0.031091
31.709993	0.031086
31.743337	0.031980
31.776681	0.031977
31.810025	0.031977
31.843369	0.031977
31.876713	0.031977
31.910056	0.031977
31.943400	0.031977
31.976744	0.031977
32.010088	0.031977
32.043432	0.031978
32.076776	0.031978
