0.2569537163	-154382	278	197.5	0.257
0.6480324268	-154372	281	197.5	0.260
1.143722057	-156854	279	200.3	0.258
1.484058857	-156976	281	200.4	0.260
1.855120897	-156542	274	199.9	0.253
2.22453928	-156440	275	199.8	0.254
2.568903446	-157754	283	201.3	0.262
3.491800308	-175224	280	220.9	0.259
3.850403786	-178534	279	224.6	0.258
4.254597187	-183328	282	230.0	0.261
4.643261433	-189030	278	236.4	0.257
4.982786894	-196136	281	244.4	0.260
5.399102449	-201602	280	250.5	0.259
5.818210125	-205200	281	254.6	0.260
6.235677481	-210874	281	260.9	0.260
6.653107643	-220748	285	272.0	0.264
7.088088274	-229538	285	281.9	0.264
7.491605997	-240476	288	294.2	0.267
7.896268129	-247686	284	302.3	0.263
8.282031775	-255436	287	311.0	0.266
8.686660767	-260498	284	316.7	0.263
9.073269129	-266800	286	323.8	0.265
9.506908417	-279318	289	337.8	0.268
9.850036383	-285048	289	344.3	0.268
10.28522086	-293066	287	353.3	0.266
10.70410156	-297760	291	358.5	0.270
11.12279844	-307474	287	369.5	0.266
11.54125786	-315256	292	378.2	0.271
11.97585964	-320754	292	384.4	0.271
12.37997603	-329780	285	394.5	0.264
12.79805923	-340274	292	406.3	0.271
13.21768117	-344320	293	410.8	0.272
13.63507962	-350210	291	417.5	0.270
14.08174133	-358564	294	426.8	0.273
14.42457151	-362130	290	430.8	0.269
14.74998426	-362532	294	431.3	0.273
15.0896368	-364110	293	433.1	0.272
15.49455023	-365584	289	434.7	0.268
15.89686871	-365186	295	434.3	0.274
16.30044746	-364844	294	433.9	0.273
16.62644529	-365010	291	434.1	0.270
17.0300138	-365236	295	434.3	0.274
17.47835326	-365746	295	434.9	0.274
17.88588643	-372324	294	442.3	0.273
18.30329347	-375398	297	445.8	0.276
18.71883607	-375912	289	446.3	0.268
19.12205148	-376270	293	446.7	0.272
19.52476549	-376884	297	447.4	0.276
19.94325447	-377106	297	447.7	0.276
20.37968516	-376652	291	447.2	0.270
20.7350266	-376422	293	446.9	0.272
21.15326214	-376368	293	446.8	0.272
21.52588439	-376018	292	446.4	0.271
21.94554615	-375844	296	446.3	0.275
22.28632069	-376062	291	446.5	0.270
22.70320964	-375592	293	446.0	0.272
23.06124735	-375330	292	445.7	0.271
23.48039579	-375524	293	445.9	0.272
23.80622816	-374834	291	445.1	0.270
24.17913246	-373076	293	443.1	0.272
24.5978508	-350930	291	418.3	0.270
25.04917789	-328096	292	392.6	0.271
25.454494	-313758	290	376.5	0.269
25.87050748	-311236	289	373.7	0.268
26.29157805	-312594	296	375.2	0.275
26.69475722	-306508	288	368.4	0.267
27.10130763	-302826	286	364.2	0.265
27.49072933	-295644	290	356.2	0.269
27.86206412	-283442	288	342.5	0.267
28.18863511	-274128	286	332.0	0.265
28.54794025	-267622	285	324.7	0.264
29.01450181	-262852	284	319.3	0.263
29.3892951	-264686	285	321.4	0.264
29.80669427	-259636	283	315.7	0.262
30.22392631	-257462	283	313.3	0.262
30.62952995	-261880	276	318.2	0.255
30.95673084	-268454	285	325.6	0.264
31.37613201	-274288	282	332.2	0.261
31.76432705	-278962	285	337.4	0.264
32.17856121	-281440	281	340.2	0.260
